Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
104	Spectrogram 1	1	345.500000	346.250000	0	0	noise	cluster_noise	0.0000
105	Spectrogram 1	1	346.000000	347.500000	0	0	5	cluster_5	1.0000
106	Spectrogram 1	1	347.250000	348.500000	0	0	noise	cluster_noise	0.0000
107	Spectrogram 1	1	348.250000	348.750000	0	0	26	cluster_26	0.8506
108	Spectrogram 1	1	348.500000	349.000000	0	0	noise	cluster_noise	0.0000
109	Spectrogram 1	1	348.750000	349.250000	0	0	9	cluster_9	0.8223
110	Spectrogram 1	1	349.000000	351.750000	0	0	5	cluster_5	0.9930
111	Spectrogram 1	1	351.500000	352.000000	0	0	noise	cluster_noise	0.0000
112	Spectrogram 1	1	351.750000	353.250000	0	0	3	cluster_3	0.9822
113	Spectrogram 1	1	353.000000	353.500000	0	0	noise	cluster_noise	0.0000
114	Spectrogram 1	1	353.250000	355.000000	0	0	26	cluster_26	0.9104
115	Spectrogram 1	1	354.750000	356.000000	0	0	noise	cluster_noise	0.0000
116	Spectrogram 1	1	355.750000	358.250000	0	0	5	cluster_5	1.0000
117	Spectrogram 1	1	358.000000	359.250000	0	0	noise	cluster_noise	0.0000
118	Spectrogram 1	1	359.000000	359.500000	0	0	26	cluster_26	1.0000
119	Spectrogram 1	1	359.250000	360.000000	0	0	noise	cluster_noise	0.0000
120	Spectrogram 1	1	359.750000	360.250000	0	0	26	cluster_26	0.9582
121	Spectrogram 1	1	360.000000	360.500000	0	0	3	cluster_3	1.0000
122	Spectrogram 1	1	360.250000	362.750000	0	0	5	cluster_5	1.0000
123	Spectrogram 1	1	362.500000	363.000000	0	0	noise	cluster_noise	0.0000
124	Spectrogram 1	1	362.750000	363.250000	0	0	9	cluster_9	1.0000
125	Spectrogram 1	1	363.000000	363.750000	0	0	5	cluster_5	1.0000
126	Spectrogram 1	1	363.500000	364.000000	0	0	noise	cluster_noise	0.0000
127	Spectrogram 1	1	363.750000	364.500000	0	0	9	cluster_9	0.8676
128	Spectrogram 1	1	364.250000	365.250000	0	0	noise	cluster_noise	0.0000
129	Spectrogram 1	1	365.000000	365.500000	0	0	5	cluster_5	1.0000
130	Spectrogram 1	1	365.250000	369.750000	0	0	noise	cluster_noise	0.0000
131	Spectrogram 1	1	369.500000	370.000000	0	0	13	cluster_13	0.5018
132	Spectrogram 1	1	369.750000	371.000000	0	0	noise	cluster_noise	0.0000
133	Spectrogram 1	1	370.750000	371.750000	0	0	26	cluster_26	0.9231
134	Spectrogram 1	1	371.500000	375.000000	0	0	5	cluster_5	1.0000
135	Spectrogram 1	1	374.750000	376.250000	0	0	noise	cluster_noise	0.0000
136	Spectrogram 1	1	376.000000	378.500000	0	0	5	cluster_5	1.0000
137	Spectrogram 1	1	378.250000	378.750000	0	0	9	cluster_9	0.8242
138	Spectrogram 1	1	378.500000	379.750000	0	0	noise	cluster_noise	0.0000
139	Spectrogram 1	1	379.500000	380.000000	0	0	13	cluster_13	0.5234
140	Spectrogram 1	1	379.750000	382.000000	0	0	noise	cluster_noise	0.0000
141	Spectrogram 1	1	381.750000	382.250000	0	0	13	cluster_13	0.4812
142	Spectrogram 1	1	382.000000	382.750000	0	0	noise	cluster_noise	0.0000
143	Spectrogram 1	1	382.500000	383.000000	0	0	9	cluster_9	0.9060
144	Spectrogram 1	1	382.750000	386.000000	0	0	noise	cluster_noise	0.0000
145	Spectrogram 1	1	385.750000	386.250000	0	0	18	cluster_18	0.7941
146	Spectrogram 1	1	386.000000	387.000000	0	0	noise	cluster_noise	0.0000
147	Spectrogram 1	1	386.750000	387.250000	0	0	20	cluster_20	1.0000
148	Spectrogram 1	1	387.000000	387.500000	0	0	noise	cluster_noise	0.0000
149	Spectrogram 1	1	387.250000	387.750000	0	0	26	cluster_26	0.9060
150	Spectrogram 1	1	387.500000	389.000000	0	0	noise	cluster_noise	0.0000
151	Spectrogram 1	1	388.750000	391.250000	0	0	5	cluster_5	0.9932
152	Spectrogram 1	1	391.000000	391.750000	0	0	noise	cluster_noise	0.0000
153	Spectrogram 1	1	391.500000	392.000000	0	0	26	cluster_26	0.9252
154	Spectrogram 1	1	391.750000	392.750000	0	0	noise	cluster_noise	0.0000
155	Spectrogram 1	1	392.500000	395.000000	0	0	5	cluster_5	1.0000
156	Spectrogram 1	1	394.750000	396.250000	0	0	noise	cluster_noise	0.0000
157	Spectrogram 1	1	396.000000	396.500000	0	0	13	cluster_13	0.4959
158	Spectrogram 1	1	396.250000	398.500000	0	0	noise	cluster_noise	0.0000
159	Spectrogram 1	1	398.250000	398.750000	0	0	3	cluster_3	1.0000
160	Spectrogram 1	1	398.500000	400.750000	0	0	noise	cluster_noise	0.0000
161	Spectrogram 1	1	400.500000	401.000000	0	0	20	cluster_20	0.9539
162	Spectrogram 1	1	400.750000	404.000000	0	0	noise	cluster_noise	0.0000
163	Spectrogram 1	1	403.750000	404.250000	0	0	26	cluster_26	0.8047
164	Spectrogram 1	1	404.000000	404.500000	0	0	noise	cluster_noise	0.0000
165	Spectrogram 1	1	404.250000	407.750000	0	0	5	cluster_5	1.0000
166	Spectrogram 1	1	407.500000	409.750000	0	0	noise	cluster_noise	0.0000
167	Spectrogram 1	1	409.500000	410.250000	0	0	26	cluster_26	0.8240
168	Spectrogram 1	1	410.000000	411.250000	0	0	noise	cluster_noise	0.0000
169	Spectrogram 1	1	411.000000	411.750000	0	0	8	cluster_8	0.7339
170	Spectrogram 1	1	411.500000	412.500000	0	0	noise	cluster_noise	0.0000
171	Spectrogram 1	1	415.000000	415.500000	0	0	26	cluster_26	0.8967
172	Spectrogram 1	1	415.250000	415.750000	0	0	noise	cluster_noise	0.0000
173	Spectrogram 1	1	415.500000	416.250000	0	0	26	cluster_26	0.8621
174	Spectrogram 1	1	416.000000	416.500000	0	0	noise	cluster_noise	0.0000
175	Spectrogram 1	1	417.000000	419.000000	0	0	5	cluster_5	1.0000
176	Spectrogram 1	1	418.750000	419.750000	0	0	noise	cluster_noise	0.0000
177	Spectrogram 1	1	419.500000	420.000000	0	0	22	cluster_22	0.7314
178	Spectrogram 1	1	419.750000	421.750000	0	0	26	cluster_26	0.9206
179	Spectrogram 1	1	421.500000	422.500000	0	0	noise	cluster_noise	0.0000
180	Spectrogram 1	1	422.250000	423.500000	0	0	8	cluster_8	0.7831
181	Spectrogram 1	1	427.000000	428.250000	0	0	26	cluster_26	0.9020
182	Spectrogram 1	1	428.000000	428.500000	0	0	noise	cluster_noise	0.0000
183	Spectrogram 1	1	430.000000	431.250000	0	0	5	cluster_5	1.0000
184	Spectrogram 1	1	431.000000	431.750000	0	0	noise	cluster_noise	0.0000
185	Spectrogram 1	1	431.500000	432.000000	0	0	24	cluster_24	0.9638
186	Spectrogram 1	1	431.750000	433.750000	0	0	noise	cluster_noise	0.0000
187	Spectrogram 1	1	433.500000	435.500000	0	0	4	cluster_4	0.9826
188	Spectrogram 1	1	435.250000	435.750000	0	0	5	cluster_5	1.0000
189	Spectrogram 1	1	435.500000	436.500000	0	0	noise	cluster_noise	0.0000
190	Spectrogram 1	1	437.000000	440.000000	0	0	4	cluster_4	0.9539
191	Spectrogram 1	1	439.750000	440.500000	0	0	noise	cluster_noise	0.0000
192	Spectrogram 1	1	442.000000	442.500000	0	0	13	cluster_13	0.5391
193	Spectrogram 1	1	442.250000	442.750000	0	0	26	cluster_26	0.8103
194	Spectrogram 1	1	442.500000	443.250000	0	0	9	cluster_9	0.9906
195	Spectrogram 1	1	443.000000	444.000000	0	0	noise	cluster_noise	0.0000
196	Spectrogram 1	1	443.750000	444.500000	0	0	13	cluster_13	0.5803
197	Spectrogram 1	1	444.250000	445.000000	0	0	noise	cluster_noise	0.0000
198	Spectrogram 1	1	444.750000	445.250000	0	0	9	cluster_9	0.7884
199	Spectrogram 1	1	445.000000	445.750000	0	0	noise	cluster_noise	0.0000
200	Spectrogram 1	1	445.500000	446.000000	0	0	26	cluster_26	1.0000
201	Spectrogram 1	1	445.750000	446.250000	0	0	noise	cluster_noise	0.0000
202	Spectrogram 1	1	446.000000	446.750000	0	0	13	cluster_13	0.7632
203	Spectrogram 1	1	446.500000	447.000000	0	0	noise	cluster_noise	0.0000
204	Spectrogram 1	1	446.750000	447.500000	0	0	9	cluster_9	0.8971
205	Spectrogram 1	1	447.250000	448.000000	0	0	noise	cluster_noise	0.0000
206	Spectrogram 1	1	447.750000	448.250000	0	0	26	cluster_26	0.9045
207	Spectrogram 1	1	448.000000	448.500000	0	0	noise	cluster_noise	0.0000
208	Spectrogram 1	1	448.250000	449.500000	0	0	4	cluster_4	0.8712
209	Spectrogram 1	1	449.250000	450.000000	0	0	5	cluster_5	1.0000
210	Spectrogram 1	1	449.750000	450.250000	0	0	4	cluster_4	0.5295
211	Spectrogram 1	1	450.000000	450.500000	0	0	13	cluster_13	0.5196
212	Spectrogram 1	1	450.250000	452.000000	0	0	noise	cluster_noise	0.0000
213	Spectrogram 1	1	451.750000	453.750000	0	0	4	cluster_4	0.7172
214	Spectrogram 1	1	453.500000	454.000000	0	0	noise	cluster_noise	0.0000
215	Spectrogram 1	1	453.750000	454.500000	0	0	4	cluster_4	0.9430
216	Spectrogram 1	1	456.000000	456.750000	0	0	13	cluster_13	0.8398
217	Spectrogram 1	1	456.500000	457.250000	0	0	noise	cluster_noise	0.0000
218	Spectrogram 1	1	457.000000	457.750000	0	0	9	cluster_9	0.9490
219	Spectrogram 1	1	457.500000	458.000000	0	0	26	cluster_26	0.7898
220	Spectrogram 1	1	457.750000	458.500000	0	0	noise	cluster_noise	0.0000
221	Spectrogram 1	1	458.250000	458.750000	0	0	13	cluster_13	0.5162
222	Spectrogram 1	1	458.500000	459.000000	0	0	noise	cluster_noise	0.0000
223	Spectrogram 1	1	458.750000	459.250000	0	0	26	cluster_26	0.7962
224	Spectrogram 1	1	459.000000	460.000000	0	0	9	cluster_9	0.9265
225	Spectrogram 1	1	459.750000	460.250000	0	0	noise	cluster_noise	0.0000
