Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
138	Spectrogram 1	1	387.500000	388.000000	0	0	noise	cluster_noise	0.0000
139	Spectrogram 1	1	387.750000	388.250000	0	0	9	cluster_9	0.7842
140	Spectrogram 1	1	388.000000	389.000000	0	0	noise	cluster_noise	0.0000
141	Spectrogram 1	1	388.750000	391.250000	0	0	6	cluster_6	0.9845
142	Spectrogram 1	1	391.000000	391.500000	0	0	noise	cluster_noise	0.0000
143	Spectrogram 1	1	391.250000	391.750000	0	0	9	cluster_9	1.0000
144	Spectrogram 1	1	391.500000	392.750000	0	0	noise	cluster_noise	0.0000
145	Spectrogram 1	1	392.500000	395.000000	0	0	6	cluster_6	0.9835
146	Spectrogram 1	1	394.750000	395.500000	0	0	noise	cluster_noise	0.0000
147	Spectrogram 1	1	395.250000	395.750000	0	0	14	cluster_14	0.7309
148	Spectrogram 1	1	395.500000	396.250000	0	0	noise	cluster_noise	0.0000
149	Spectrogram 1	1	396.000000	396.500000	0	0	10	cluster_10	0.5386
150	Spectrogram 1	1	396.250000	398.250000	0	0	noise	cluster_noise	0.0000
151	Spectrogram 1	1	398.000000	398.500000	0	0	14	cluster_14	0.7337
152	Spectrogram 1	1	398.250000	400.500000	0	0	noise	cluster_noise	0.0000
153	Spectrogram 1	1	400.250000	400.750000	0	0	10	cluster_10	0.5054
154	Spectrogram 1	1	400.500000	402.250000	0	0	noise	cluster_noise	0.0000
155	Spectrogram 1	1	402.000000	402.500000	0	0	14	cluster_14	0.7969
156	Spectrogram 1	1	402.250000	402.750000	0	0	noise	cluster_noise	0.0000
157	Spectrogram 1	1	402.500000	403.000000	0	0	13	cluster_13	0.8331
158	Spectrogram 1	1	402.750000	404.500000	0	0	noise	cluster_noise	0.0000
159	Spectrogram 1	1	404.250000	407.750000	0	0	6	cluster_6	1.0000
160	Spectrogram 1	1	407.500000	408.500000	0	0	noise	cluster_noise	0.0000
161	Spectrogram 1	1	408.250000	409.000000	0	0	9	cluster_9	0.9818
162	Spectrogram 1	1	408.750000	409.250000	0	0	13	cluster_13	0.6734
163	Spectrogram 1	1	409.000000	409.750000	0	0	noise	cluster_noise	0.0000
164	Spectrogram 1	1	409.500000	410.250000	0	0	13	cluster_13	0.7057
165	Spectrogram 1	1	410.000000	412.500000	0	0	noise	cluster_noise	0.0000
166	Spectrogram 1	1	418.000000	419.250000	0	0	6	cluster_6	0.9406
167	Spectrogram 1	1	419.000000	420.000000	0	0	9	cluster_9	0.9830
168	Spectrogram 1	1	419.750000	420.250000	0	0	13	cluster_13	0.7602
169	Spectrogram 1	1	420.000000	420.500000	0	0	noise	cluster_noise	0.0000
170	Spectrogram 1	1	420.250000	421.000000	0	0	13	cluster_13	0.8019
171	Spectrogram 1	1	420.750000	421.250000	0	0	noise	cluster_noise	0.0000
172	Spectrogram 1	1	421.000000	422.000000	0	0	13	cluster_13	0.7517
173	Spectrogram 1	1	421.750000	423.500000	0	0	noise	cluster_noise	0.0000
174	Spectrogram 1	1	427.000000	427.750000	0	0	13	cluster_13	0.6472
