Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
103	Spectrogram 1	1	25.500000	26.000000	0	0	1	cluster_1	1.0000
104	Spectrogram 1	1	25.750000	26.250000	0	0	5	cluster_5	0.8277
105	Spectrogram 1	1	26.000000	26.500000	0	0	5	cluster_5	1.0000
106	Spectrogram 1	1	26.250000	26.750000	0	0	5	cluster_5	0.9535
107	Spectrogram 1	1	26.500000	27.000000	0	0	5	cluster_5	1.0000
108	Spectrogram 1	1	26.750000	27.250000	0	0	noise	cluster_noise	0.0000
109	Spectrogram 1	1	27.000000	27.500000	0	0	1	cluster_1	0.7008
110	Spectrogram 1	1	27.250000	27.750000	0	0	noise	cluster_noise	0.0000
111	Spectrogram 1	1	27.500000	28.000000	0	0	noise	cluster_noise	0.0000
112	Spectrogram 1	1	27.750000	28.250000	0	0	5	cluster_5	1.0000
113	Spectrogram 1	1	28.000000	28.500000	0	0	5	cluster_5	1.0000
114	Spectrogram 1	1	28.250000	28.750000	0	0	5	cluster_5	0.9865
115	Spectrogram 1	1	28.500000	29.000000	0	0	5	cluster_5	1.0000
116	Spectrogram 1	1	28.750000	29.250000	0	0	noise	cluster_noise	0.0000
117	Spectrogram 1	1	29.000000	29.500000	0	0	noise	cluster_noise	0.0000
118	Spectrogram 1	1	29.250000	29.750000	0	0	noise	cluster_noise	0.0000
119	Spectrogram 1	1	29.500000	30.000000	0	0	5	cluster_5	0.6837
120	Spectrogram 1	1	29.750000	30.250000	0	0	5	cluster_5	0.7443
121	Spectrogram 1	1	30.000000	30.500000	0	0	5	cluster_5	0.9567
122	Spectrogram 1	1	30.250000	30.750000	0	0	5	cluster_5	1.0000
123	Spectrogram 1	1	30.500000	31.000000	0	0	5	cluster_5	0.9319
124	Spectrogram 1	1	30.750000	31.250000	0	0	5	cluster_5	0.9242
125	Spectrogram 1	1	31.000000	31.500000	0	0	5	cluster_5	1.0000
126	Spectrogram 1	1	31.250000	31.750000	0	0	noise	cluster_noise	0.0000
127	Spectrogram 1	1	31.500000	32.000000	0	0	noise	cluster_noise	0.0000
128	Spectrogram 1	1	31.750000	32.250000	0	0	5	cluster_5	1.0000
129	Spectrogram 1	1	32.000000	32.500000	0	0	5	cluster_5	0.9810
130	Spectrogram 1	1	32.250000	32.750000	0	0	5	cluster_5	1.0000
131	Spectrogram 1	1	32.500000	33.000000	0	0	5	cluster_5	1.0000
132	Spectrogram 1	1	32.750000	33.250000	0	0	5	cluster_5	0.9359
133	Spectrogram 1	1	33.000000	33.500000	0	0	5	cluster_5	1.0000
134	Spectrogram 1	1	33.250000	33.750000	0	0	5	cluster_5	1.0000
135	Spectrogram 1	1	33.500000	34.000000	0	0	5	cluster_5	1.0000
136	Spectrogram 1	1	33.750000	34.250000	0	0	5	cluster_5	0.9891
137	Spectrogram 1	1	34.000000	34.500000	0	0	5	cluster_5	0.9149
138	Spectrogram 1	1	34.250000	34.750000	0	0	5	cluster_5	1.0000
139	Spectrogram 1	1	34.500000	35.000000	0	0	noise	cluster_noise	0.0000
140	Spectrogram 1	1	34.750000	35.250000	0	0	1	cluster_1	0.8875
141	Spectrogram 1	1	35.000000	35.500000	0	0	noise	cluster_noise	0.0000
142	Spectrogram 1	1	35.250000	35.750000	0	0	5	cluster_5	1.0000
143	Spectrogram 1	1	35.500000	36.000000	0	0	5	cluster_5	0.7956
144	Spectrogram 1	1	35.750000	36.250000	0	0	5	cluster_5	0.7139
145	Spectrogram 1	1	36.000000	36.500000	0	0	5	cluster_5	0.7377
146	Spectrogram 1	1	36.250000	36.750000	0	0	5	cluster_5	1.0000
147	Spectrogram 1	1	36.500000	37.000000	0	0	5	cluster_5	0.8690
148	Spectrogram 1	1	36.750000	37.250000	0	0	5	cluster_5	1.0000
149	Spectrogram 1	1	37.000000	37.500000	0	0	5	cluster_5	0.8275
150	Spectrogram 1	1	37.250000	37.750000	0	0	5	cluster_5	1.0000
151	Spectrogram 1	1	37.500000	38.000000	0	0	5	cluster_5	1.0000
152	Spectrogram 1	1	37.750000	38.250000	0	0	noise	cluster_noise	0.0000
153	Spectrogram 1	1	38.000000	38.500000	0	0	5	cluster_5	0.7508
154	Spectrogram 1	1	38.250000	38.750000	0	0	5	cluster_5	1.0000
155	Spectrogram 1	1	38.500000	39.000000	0	0	5	cluster_5	1.0000
156	Spectrogram 1	1	38.750000	39.250000	0	0	5	cluster_5	0.6667
157	Spectrogram 1	1	39.000000	39.500000	0	0	5	cluster_5	0.8646
158	Spectrogram 1	1	39.250000	39.750000	0	0	5	cluster_5	1.0000
159	Spectrogram 1	1	39.500000	40.000000	0	0	5	cluster_5	0.9526
160	Spectrogram 1	1	39.750000	40.250000	0	0	5	cluster_5	1.0000
161	Spectrogram 1	1	40.000000	40.500000	0	0	5	cluster_5	0.9241
162	Spectrogram 1	1	40.250000	40.750000	0	0	5	cluster_5	0.7897
163	Spectrogram 1	1	40.500000	41.000000	0	0	5	cluster_5	0.9711
164	Spectrogram 1	1	40.750000	41.250000	0	0	5	cluster_5	1.0000
165	Spectrogram 1	1	41.000000	41.500000	0	0	5	cluster_5	0.8197
166	Spectrogram 1	1	41.250000	41.750000	0	0	5	cluster_5	0.6495
167	Spectrogram 1	1	41.500000	42.000000	0	0	5	cluster_5	0.9301
168	Spectrogram 1	1	41.750000	42.250000	0	0	5	cluster_5	1.0000
169	Spectrogram 1	1	42.000000	42.500000	0	0	5	cluster_5	0.9658
170	Spectrogram 1	1	42.250000	42.750000	0	0	5	cluster_5	0.9428
171	Spectrogram 1	1	42.500000	43.000000	0	0	5	cluster_5	0.7594
172	Spectrogram 1	1	42.750000	43.250000	0	0	5	cluster_5	0.8421
173	Spectrogram 1	1	43.000000	43.500000	0	0	5	cluster_5	0.9971
174	Spectrogram 1	1	43.250000	43.750000	0	0	5	cluster_5	1.0000
175	Spectrogram 1	1	43.500000	44.000000	0	0	5	cluster_5	0.9639
176	Spectrogram 1	1	43.750000	44.250000	0	0	5	cluster_5	1.0000
177	Spectrogram 1	1	44.000000	44.500000	0	0	5	cluster_5	0.9780
178	Spectrogram 1	1	44.250000	44.750000	0	0	noise	cluster_noise	0.0000
179	Spectrogram 1	1	44.500000	45.000000	0	0	5	cluster_5	0.9482
180	Spectrogram 1	1	44.750000	45.250000	0	0	5	cluster_5	1.0000
181	Spectrogram 1	1	45.000000	45.500000	0	0	5	cluster_5	1.0000
182	Spectrogram 1	1	45.250000	45.750000	0	0	5	cluster_5	0.9669
183	Spectrogram 1	1	45.500000	46.000000	0	0	5	cluster_5	0.8744
