embedder_type,window_sec,hop_sec,perch_padding,umap_dims,mcs,eps,n_clusters,noise_pct,dbcv,median_sz,min_sz,max_sz,t_umap_s,t_hdbscan_s,detsim,nmi,ari,homog,mean_total_score
perch,2.0,0.5,zero,30,50,0.0,35,19.6,0.2929,328,64,3771,42.0,7.8,0.7567,0.705,0.6403,0.7285,0.707625
perch,2.5,0.5,repeat,10,200,0.0,14,11.1,0.4466,1791,774,4781,31.9,5.9,0.8198,0.713,0.6098,0.6874,0.7075
perch,2.0,0.25,repeat,30,200,0.0,24,14.8,0.3098,1579,212,8789,86.5,9.1,0.7996,0.7029,0.6223,0.7047,0.707375
perch,3.0,1.0,repeat,5,50,0.0,18,5.5,0.2603,631,95,3105,14.6,5.7,0.8798,0.7084,0.5653,0.675,0.707125
perch,3.0,0.5,zero,15,100,0.0,20,12.0,0.4574,1216,106,4823,33.7,7.8,0.8476,0.7031,0.5899,0.6878,0.7071000000000001
perch,2.0,0.25,repeat,2,200,0.0,27,13.1,0.358,1712,221,6233,68.9,6.2,0.8185,0.6892,0.6111,0.7092,0.7070000000000001
perch,3.0,1.0,repeat,2,200,0.0,13,8.6,0.2613,970,304,3228,29.0,5.5,0.8552,0.7188,0.5831,0.6706,0.7069249999999999
perch,2.5,0.5,zero,5,50,0.0,42,20.3,0.3759,223,50,4710,29.8,6.4,0.7663,0.7128,0.6022,0.7451,0.7065999999999999
perch,2.0,0.5,repeat,2,200,0.0,14,14.5,0.6075,1828,600,4937,43.0,5.5,0.775,0.7169,0.6351,0.6993,0.706575
perch,3.0,3.0,zero,20,100,0.0,14,13.6,0.3876,305,116,792,12.5,0.8,0.8048,0.7174,0.612,0.6908,0.7062499999999999
perch,2.0,1.0,zero,15,100,0.0,20,20.6,0.2075,573,149,2129,17.5,6.3,0.7479,0.709,0.6543,0.7129,0.706025
perch,2.0,0.25,zero,10,200,0.0,24,15.4,0.3215,1620,233,8360,67.5,8.7,0.7875,0.6978,0.637,0.7014,0.705925
perch,3.0,3.0,zero,30,50,0.0,14,10.4,0.3857,326,117,812,14.7,0.8,0.8303,0.7088,0.6032,0.6814,0.7059249999999999
perch,2.5,0.5,repeat,5,50,0.0,41,15.5,0.5549,229,52,4781,29.3,7.7,0.8006,0.7078,0.5863,0.7284,0.705775
perch,3.0,1.5,zero,2,100,0.0,15,12.2,0.3374,589,192,1630,25.5,0.3,0.8217,0.7076,0.6054,0.6879,0.70565
perch,3.0,3.0,zero,30,100,0.0,14,13.8,0.375,300,117,812,14.7,0.9,0.8051,0.7184,0.6087,0.6902,0.7056
perch,2.0,0.5,repeat,20,200,0.0,13,11.4,0.3167,1937,801,5062,35.0,7.1,0.7968,0.7126,0.6253,0.6867,0.7053499999999999
perch,3.0,1.0,repeat,15,200,0.0,13,10.3,0.3683,951,301,3104,16.6,5.8,0.8432,0.7207,0.5855,0.6719,0.705325
perch,3.0,1.5,zero,5,200,0.0,13,11.9,0.4138,715,235,1626,9.9,0.5,0.8425,0.7085,0.5991,0.6708,0.705225
perch,2.0,1.0,zero,30,100,0.0,20,19.9,0.3532,595,145,2136,20.8,6.2,0.7507,0.7071,0.6517,0.7108,0.7050749999999999
perch,3.0,1.0,repeat,30,200,0.0,13,10.4,0.4177,952,305,3043,19.0,5.9,0.8416,0.7201,0.5873,0.6712,0.70505
perch,2.5,1.0,zero,5,100,0.0,16,12.0,0.3936,799,102,2417,15.3,5.6,0.8108,0.7125,0.6,0.6964,0.704925
perch,3.0,1.5,zero,30,200,0.0,13,12.5,0.4899,702,225,1628,12.1,0.7,0.8355,0.7105,0.6007,0.6729,0.7049000000000001
perch,2.0,0.5,zero,15,50,0.0,36,19.2,0.2903,344,64,4132,35.8,5.9,0.7588,0.7018,0.6285,0.7304,0.7048749999999999
perch,3.0,1.5,zero,2,200,0.0,14,16.2,0.409,549,234,1630,25.5,0.4,0.7973,0.7166,0.6179,0.6874,0.7048000000000001
perch,3.0,3.0,zero,20,50,0.0,14,11.1,0.4061,309,116,792,12.5,0.8,0.8257,0.7062,0.6065,0.6804,0.7047
perch,3.0,3.0,zero,10,50,0.0,15,9.5,0.3895,280,51,809,12.8,0.8,0.8395,0.7023,0.5976,0.6791,0.7046250000000001
perch,3.0,1.0,repeat,10,200,0.0,13,9.9,0.3224,947,302,3100,15.8,5.6,0.8489,0.7181,0.581,0.67,0.7044999999999999
perch,3.0,2.0,zero,10,50,0.0,18,11.8,0.3849,358,65,1212,17.0,0.7,0.821,0.7027,0.5978,0.6961,0.7043999999999999
perch,3.0,1.0,zero,2,200,0.0,13,9.9,0.45,1142,318,2455,29.6,5.6,0.85,0.7038,0.5967,0.6669,0.70435
perch,2.5,1.5,repeat,30,50,0.0,16,7.7,0.5419,609,60,1611,12.3,1.1,0.8433,0.7002,0.5956,0.678,0.704275
perch,3.0,1.5,zero,15,200,0.0,13,13.0,0.5729,708,236,1625,11.0,0.6,0.8289,0.7119,0.6019,0.6742,0.704225
perch,2.5,1.0,zero,5,200,0.0,14,14.2,0.3694,898,243,2326,15.3,5.6,0.8128,0.7084,0.6137,0.6809,0.70395
perch,2.5,1.5,repeat,15,50,0.0,16,8.6,0.3156,591,58,1609,11.3,1.1,0.8357,0.7023,0.5967,0.6804,0.703775
perch,2.0,0.25,zero,15,200,0.0,23,15.8,0.3664,1676,226,8069,72.3,9.9,0.7864,0.6939,0.637,0.6978,0.703775
perch,2.5,1.5,repeat,2,200,0.0,13,9.5,0.2611,698,264,1607,25.2,0.9,0.829,0.7004,0.61,0.6717,0.7027749999999999
perch,2.0,1.0,zero,30,50,0.0,23,19.0,0.3333,455,57,2239,20.8,6.1,0.7575,0.7051,0.6352,0.713,0.7027
perch,2.0,1.0,repeat,2,50,0.0,24,12.3,0.22,360,51,2570,30.8,5.7,0.854,0.6925,0.5893,0.6744,0.70255
perch,2.5,1.0,zero,15,100,0.0,16,12.4,0.3083,798,133,2431,17.2,6.0,0.8074,0.7081,0.601,0.6932,0.702425
perch,1.5,0.25,repeat,5,100,0.0,32,18.4,0.3949,1015,126,6944,65.7,7.3,0.7386,0.6986,0.6507,0.7208,0.702175
perch,2.0,1.0,repeat,30,200,0.0,14,14.9,0.3972,960,218,2624,20.3,5.8,0.7647,0.7171,0.6303,0.6962,0.702075
perch,2.0,1.0,repeat,20,50,0.0,18,10.3,0.3971,697,62,2730,17.5,5.8,0.8016,0.7058,0.6039,0.6967,0.702
perch,2.5,1.0,zero,30,50,0.0,22,12.5,0.3113,397,67,2324,19.3,6.1,0.8387,0.6963,0.5915,0.6813,0.7019500000000001
perch,3.0,3.0,zero,15,50,0.0,14,11.5,0.3703,313,114,816,13.0,0.7,0.8251,0.7051,0.5993,0.6779,0.7018499999999999
perch,2.0,1.0,repeat,5,200,0.0,13,11.7,0.4679,949,399,2675,15.4,5.4,0.7947,0.7079,0.6242,0.6804,0.7018
perch,2.0,1.0,repeat,10,200,0.0,14,14.4,0.4119,946,216,2670,16.5,6.0,0.7673,0.7165,0.6274,0.6956,0.7017
perch,2.5,1.5,zero,30,100,0.0,14,13.0,0.5407,550,175,1597,12.1,1.1,0.7954,0.7107,0.6113,0.6884,0.70145
perch,3.0,1.0,zero,15,100,0.0,15,7.6,0.3334,867,104,3020,16.6,5.5,0.8726,0.706,0.5621,0.6649,0.7014
perch,2.5,1.5,zero,10,50,0.0,20,13.3,0.5743,300,66,1554,10.6,0.9,0.8258,0.7003,0.5976,0.6818,0.701375
perch,2.5,0.5,zero,5,100,0.0,24,16.5,0.37,666,111,5364,29.8,6.6,0.8115,0.7152,0.589,0.6896,0.701325
perch,2.5,1.0,zero,10,100,0.0,15,12.2,0.4998,865,169,2493,16.0,6.9,0.8075,0.7082,0.5987,0.6901,0.701125
perch,1.5,0.25,repeat,2,200,0.0,30,17.3,0.115,1556,217,5718,69.2,6.6,0.763,0.685,0.6387,0.7175,0.70105
perch,2.5,1.0,zero,30,200,0.0,14,13.9,0.4215,908,236,2430,19.3,6.2,0.7922,0.7131,0.6069,0.6911,0.700825
perch,3.0,2.0,repeat,2,50,0.0,15,4.9,0.3528,413,53,1663,29.9,0.7,0.8917,0.6975,0.5593,0.6546,0.7007749999999999
perch,1.5,0.25,repeat,10,200,0.0,26,19.0,0.3041,1555,232,7004,69.4,8.4,0.7362,0.702,0.6508,0.7139,0.700725
perch,2.0,0.5,zero,10,50,0.0,41,23.5,0.3553,253,52,2998,33.0,5.8,0.7153,0.7032,0.6317,0.7525,0.700675
perch,3.0,3.0,repeat,20,50,0.0,13,6.4,0.5299,392,56,757,12.0,0.8,0.8744,0.6967,0.5839,0.6477,0.7006749999999999
perch,3.0,1.0,repeat,30,100,0.0,14,7.8,0.3413,921,126,3156,19.0,5.8,0.8625,0.7077,0.5685,0.6637,0.7006
perch,3.0,3.0,zero,5,50,0.0,14,9.9,0.3159,323,114,817,10.9,0.7,0.8375,0.6986,0.5941,0.6722,0.7006
perch,3.0,2.0,zero,20,100,0.0,15,15.4,0.3278,437,160,1208,17.8,0.9,0.7924,0.7103,0.6084,0.6912,0.700575
perch,3.0,0.5,repeat,2,200,0.0,17,16.2,0.3822,1485,211,4487,40.9,7.0,0.7998,0.716,0.6013,0.6849,0.7004999999999999
perch,3.0,1.0,repeat,10,100,0.0,13,6.7,0.4243,954,309,3129,15.8,5.5,0.8727,0.7041,0.5677,0.6573,0.70045
perch,2.0,0.5,repeat,5,100,0.0,19,11.5,0.3801,973,102,4439,31.6,8.4,0.8038,0.7047,0.6081,0.685,0.7004
perch,2.5,2.0,repeat,30,100,0.0,14,10.3,0.2301,533,166,1229,20.4,0.9,0.833,0.701,0.598,0.6685,0.7001249999999999
perch,2.5,0.5,zero,10,50,0.0,45,21.4,0.3792,207,61,4709,35.7,5.1,0.7513,0.7077,0.5952,0.7459,0.7000249999999999
perch,3.0,1.0,repeat,20,100,0.0,14,8.1,0.2898,919,108,3110,16.2,5.6,0.8605,0.7068,0.5692,0.6627,0.6998
perch,1.5,0.25,repeat,5,200,0.0,25,17.9,0.2291,1573,260,7814,65.7,8.1,0.7434,0.6996,0.6479,0.7078,0.699675
perch,2.0,1.0,repeat,20,100,0.0,15,10.7,0.4126,915,141,2819,17.5,5.8,0.7995,0.7027,0.6093,0.6869,0.6996
perch,1.5,0.25,repeat,20,200,0.0,25,18.4,0.3772,1573,246,7481,77.4,10.5,0.7375,0.7003,0.6509,0.7089,0.6994
perch,2.0,0.25,zero,5,200,0.0,23,16.5,0.6118,1732,263,7908,63.7,9.0,0.776,0.6919,0.6331,0.6961,0.699275
perch,3.0,0.5,repeat,20,100,0.0,29,21.3,0.3926,376,104,3486,32.8,8.0,0.7481,0.7151,0.6033,0.7296,0.699025
